date,HG=F
2021-06-08,4.563
2021-06-09,4.5365
2021-06-10,4.49
2021-06-11,4.5415
2021-06-14,4.532
2021-06-15,4.34
2021-06-16,4.3925
2021-06-17,4.1845
2021-06-18,4.1625
2021-06-21,4.1875
2021-06-22,4.2345
2021-06-23,4.331
2021-06-24,4.3115
2021-06-25,4.299
2021-06-28,4.278
2021-06-29,4.2765
2021-06-30,4.2965
2021-07-01,4.242
2021-07-02,4.282
2021-07-06,4.258
2021-07-07,4.329
2021-07-08,4.2715
2021-07-09,4.3525
2021-07-12,4.323
2021-07-13,4.3145
2021-07-14,4.277
2021-07-15,4.333
2021-07-16,4.3325
2021-07-19,4.2105
2021-07-20,4.2735
2021-07-21,4.2825
2021-07-22,4.348
2021-07-23,4.4065
2021-07-26,4.589
2021-07-27,4.546
2021-07-28,4.479
2021-07-29,4.52
2021-07-30,4.4805
2021-08-02,4.432
2021-08-03,4.383
2021-08-04,4.33
2021-08-05,4.3455
2021-08-06,4.3455
2021-08-09,4.287
2021-08-10,4.3515
2021-08-11,4.364
2021-08-12,4.356
2021-08-13,4.387
2021-08-16,4.322
2021-08-17,4.2
2021-08-18,4.116
2021-08-19,4.0385
2021-08-20,4.1345
2021-08-23,4.2345
2021-08-24,4.255
2021-08-25,4.265
2021-08-26,4.246
2021-08-27,4.3165
2021-08-30,4.361
2021-08-31,4.36
2021-09-01,4.263
2021-09-02,4.29
2021-09-03,4.3255
2021-09-07,4.2775
2021-09-08,4.232
2021-09-09,4.2835
2021-09-10,4.448
2021-09-13,4.3635
2021-09-14,4.318
2021-09-15,4.4035
2021-09-16,4.2785
2021-09-17,4.2455
2021-09-20,4.117
2021-09-21,4.128
2021-09-22,4.2525
2021-09-23,4.231
2021-09-24,4.2875
2021-09-27,4.2935
2021-09-28,4.245
2021-09-29,4.2
2021-09-30,4.09
2021-10-01,4.1935
2021-10-04,4.2465
2021-10-05,4.202
2021-10-06,4.157
2021-10-07,4.251
2021-10-08,4.283
2021-10-11,4.3745
2021-10-12,4.329
2021-10-13,4.5205
2021-10-14,4.6315
2021-10-15,4.734
2021-10-18,4.7305
2021-10-19,4.714
2021-10-20,4.756
2021-10-21,4.5865
2021-10-22,4.526
2021-10-25,4.5515
2021-10-26,4.4865
2021-10-27,4.387
2021-10-28,4.4375
2021-10-29,4.3755
2021-11-01,4.402
2021-11-02,4.374
2021-11-03,4.326
2021-11-04,4.326
2021-11-05,4.349
2021-11-08,4.405
2021-11-09,4.38
2021-11-10,4.328
2021-11-11,4.4045
2021-11-12,4.4555
2021-11-15,4.407
2021-11-16,4.3585
2021-11-17,4.273
2021-11-18,4.31
2021-11-19,4.4085
2021-11-22,4.3955
2021-11-23,4.4235
2021-11-24,4.458
2021-11-25,4.426
2021-11-26,4.2815
2021-11-29,4.337
2021-11-30,4.278
2021-12-01,4.2475
2021-12-02,4.299
2021-12-03,4.2665
2021-12-06,4.337
2021-12-07,4.338
2021-12-08,4.391
2021-12-09,4.33
2021-12-10,4.283
2021-12-13,4.28
2021-12-14,4.254
2021-12-15,4.1795
2021-12-16,4.3005
2021-12-17,4.291
2021-12-20,4.288
2021-12-21,4.338
2021-12-22,4.3895
2021-12-23,4.387
2021-12-27,4.465
2021-12-28,4.42
2021-12-29,4.402
2021-12-30,4.3845
2021-12-31,4.455
2022-01-03,4.4145
2022-01-04,4.466
2022-01-05,4.4045
2022-01-06,4.348
2022-01-07,4.403
2022-01-10,4.3445
2022-01-11,4.4205
2022-01-12,4.564
2022-01-13,4.534
2022-01-14,4.4115
2022-01-18,4.376
2022-01-19,4.4625
2022-01-20,4.5765
2022-01-21,4.5125
2022-01-24,4.403
2022-01-25,4.443
2022-01-26,4.5045
2022-01-27,4.413
2022-01-28,4.303
2022-01-31,4.318
2022-02-01,4.429
2022-02-02,4.491
2022-02-03,4.4665
2022-02-04,4.4835
2022-02-07,4.4615
2022-02-08,4.4595
2022-02-09,4.6005
2022-02-10,4.6575
2022-02-11,4.505
2022-02-14,4.5075
2022-02-15,4.5315
2022-02-16,4.5405
2022-02-17,4.525
2022-02-18,4.5195
2022-02-22,4.51
2022-02-23,4.4815
2022-02-24,4.454
2022-02-25,4.472
2022-02-28,4.4445
2022-03-01,4.5865
2022-03-02,4.6555
2022-03-03,4.7715
2022-03-04,4.929
2022-03-07,4.722
2022-03-08,4.7005
2022-03-09,4.564
2022-03-10,4.6435
2022-03-11,4.616
2022-03-14,4.5125
2022-03-15,4.5015
2022-03-16,4.588
2022-03-17,4.6905
2022-03-18,4.7305
2022-03-21,4.7015
2022-03-22,4.689
2022-03-23,4.7625
2022-03-24,4.729
2022-03-25,4.686
2022-03-28,4.714
2022-03-29,4.7165
2022-03-30,4.7395
2022-03-31,4.743
2022-04-01,4.6825
2022-04-04,4.7765
2022-04-05,4.791
2022-04-06,4.7335
2022-04-07,4.695
2022-04-08,4.72
2022-04-11,4.6285
2022-04-12,4.704
2022-04-13,4.707
2022-04-14,4.717
2022-04-18,4.796
2022-04-19,4.714
2022-04-20,4.6495
2022-04-21,4.7035
2022-04-22,4.5825
2022-04-25,4.449
2022-04-26,4.44
2022-04-27,4.4545
2022-04-28,4.4135
2022-04-29,4.395
2022-05-02,4.2555
2022-05-03,4.271
2022-05-04,4.3285
2022-05-05,4.285
2022-05-06,4.2615
2022-05-09,4.193
2022-05-10,4.1545
2022-05-11,4.2125
2022-05-12,4.105
2022-05-13,4.1805
2022-05-16,4.1965
2022-05-17,4.2395
2022-05-18,4.182
2022-05-19,4.285
2022-05-20,4.281
2022-05-23,4.3475
2022-05-24,4.3255
2022-05-25,4.277
2022-05-26,4.255
2022-05-27,4.304
2022-05-31,4.295
2022-06-01,4.33
2022-06-02,4.554
2022-06-03,4.4775
2022-06-06,4.4395
2022-06-07,4.4395
2022-06-08,4.4585
2022-06-09,4.389
2022-06-10,4.301
2022-06-13,4.2165
2022-06-14,4.1615
2022-06-15,4.1675
2022-06-16,4.112
2022-06-17,4.0175
2022-06-20,3.965
2022-06-21,4.043
2022-06-22,3.9515
2022-06-23,3.7585
2022-06-24,3.76
2022-06-27,3.779
2022-06-28,3.784
2022-06-29,3.779
2022-06-30,3.7145
2022-07-01,3.619
2022-07-05,3.425
2022-07-06,3.418
2022-07-07,3.582
2022-07-08,3.532
2022-07-11,3.4375
2022-07-12,3.2965
2022-07-13,3.3255
2022-07-14,3.2105
2022-07-15,3.2345
2022-07-18,3.348
2022-07-19,3.2915
2022-07-20,3.3295
2022-07-21,3.302
2022-07-22,3.3485
2022-07-25,3.351
2022-07-26,3.3825
2022-07-27,3.4295
2022-07-28,3.475
2022-07-29,3.584
2022-08-01,3.552
2022-08-02,3.5245
2022-08-03,3.4695
2022-08-04,3.483
2022-08-05,3.553
2022-08-08,3.5875
2022-08-09,3.5925
2022-08-10,3.6555
2022-08-11,3.7105
2022-08-12,3.676
2022-08-15,3.629
2022-08-16,3.6365
2022-08-17,3.598
2022-08-18,3.6465
2022-08-19,3.6835
2022-08-22,3.6705
2022-08-23,3.7045
2022-08-24,3.6605
2022-08-25,3.7105
2022-08-26,3.7115
2022-08-29,3.6265
2022-08-30,3.545
2022-08-31,3.5185
2022-09-01,3.4145
2022-09-02,3.4215
2022-09-06,3.469
2022-09-07,3.438
2022-09-08,3.536
2022-09-09,3.581
2022-09-12,3.6255
2022-09-13,3.581
2022-09-14,3.5455
2022-09-15,3.5235
2022-09-16,3.561
2022-09-19,3.5575
2022-09-20,3.548
2022-09-21,3.512
2022-09-22,3.4985
2022-09-23,3.3715
